"Car","cyl","hp","vs","am","gear","carb","drat","wt","qsec","mpg","disp"
"Mazda RX4",6,110,0,1,4,4,3.9,2.62,16.46,21,160
"Mazda RX4 Wag",6,110,0,1,4,4,3.9,2.875,17.02,21,160
"Datsun 710",4,93,1,1,4,1,3.85,2.32,18.61,22.8,108
"Hornet 4 Drive",6,110,1,0,3,1,3.08,3.215,19.44,21.4,258
"Hornet Sportabout",8,175,0,0,3,2,3.15,3.44,17.02,18.7,360
"Valiant",6,105,1,0,3,1,2.76,3.46,20.22,18.1,225
"Duster 360",8,245,0,0,3,4,3.21,3.57,15.84,14.3,360
"Merc 240D",4,62,1,0,4,2,3.69,3.19,20,24.4,146.7
"Merc 230",4,95,1,0,4,2,3.92,3.15,22.9,22.8,140.8
"Merc 280",6,123,1,0,4,4,3.92,3.44,18.3,19.2,167.6
"Merc 280C",6,123,1,0,4,4,3.92,3.44,18.9,17.8,167.6
"Merc 450SE",8,180,0,0,3,3,3.07,4.07,17.4,16.4,275.8
"Merc 450SL",8,180,0,0,3,3,3.07,3.73,17.6,17.3,275.8
"Merc 450SLC",8,180,0,0,3,3,3.07,3.78,18,15.2,275.8
"Cadillac Fleetwood",8,205,0,0,3,4,2.93,5.25,17.98,10.4,472
"Lincoln Continental",8,215,0,0,3,4,3,5.424,17.82,10.4,460
"Chrysler Imperial",8,230,0,0,3,4,3.23,5.345,17.42,14.7,440
"Fiat 128",4,66,1,1,4,1,4.08,2.2,19.47,32.4,78.7
"Honda Civic",4,52,1,1,4,2,4.93,1.615,18.52,30.4,75.7
"Toyota Corolla",4,65,1,1,4,1,4.22,1.835,19.9,33.9,71.1
"Toyota Corona",4,97,1,0,3,1,3.7,2.465,20.01,21.5,120.1
"Dodge Challenger",8,150,0,0,3,2,2.76,3.52,16.87,15.5,318
"AMC Javelin",8,150,0,0,3,2,3.15,3.435,17.3,15.2,304
"Camaro Z28",8,245,0,0,3,4,3.73,3.84,15.41,13.3,350
"Pontiac Firebird",8,175,0,0,3,2,3.08,3.845,17.05,19.2,400
"Fiat X1-9",4,66,1,1,4,1,4.08,1.935,18.9,27.3,79
"Porsche 914-2",4,91,0,1,5,2,4.43,2.14,16.7,26,120.3
"Lotus Europa",4,113,1,1,5,2,3.77,1.513,16.9,30.4,95.1
"Ford Pantera L",8,264,0,1,5,4,4.22,3.17,14.5,15.8,351
"Ferrari Dino",6,175,0,1,5,6,3.62,2.77,15.5,19.7,145
"Maserati Bora",8,335,0,1,5,8,3.54,3.57,14.6,15,301
"Volvo 142E",4,109,1,1,4,2,4.11,2.78,18.6,21.4,121
